name	n_hab_planets	n_stars	n_planets	discovery_method	temperature	metalicity	radius	period	declination	eccentricity	
HD_108874	1	1	2	RV	256.8	None	None	395.4	+22 52 47	0.07	
HD_108874	1	1	2	RV	160.2	None	None	1605.8	+22 52 47	0.25	
HD_109246	0	1	1	RV	452.6	None	None	68.27	+74 29 22	0.12	
HD_109271	0	1	2	RV	1076.0	None	None	7.8543	-11 37 18	0.25	
HD_109271	0	1	2	RV	684.9	None	None	30.93	-11 37 18	0.15	
HD_109749	0	2	1	RV	1161.9	None	None	5.24	-40 48 43	0.01	
HD_110014	0	1	1	RV	603.9	None	None	835.477	-07 59 44	0.462	
HD_111232	0	1	1	RV	163.3	None	None	1143	-68 25 30	0.2	
HD_113337	0	1	1	RV	None	None	None	324	+63 36 37	0.46	
HD_113538	0	1	2	RV	192.6	None	None	663.2	-52 26 35	0.14	
HD_113538	0	1	2	RV	106.1	None	None	1818	-52 26 35	0.2	
HD_114386	0	1	2	RV	182.8	None	None	937	-35 03 17	0.23	
HD_114386	0	1	2	RV	None	None	None	1046	-35 03 17	0.06	
HD_114613	0	1	1	RV	None	None	None	3827	-37 48 10.8901	0.25	
HD_114729	0	2	1	RV	None	None	None	1135	-31 52 24	0.32	
HD_114762	0	2	1	RV	486.8	None	None	83.9151	+17 31 01	0.3354	
HD_114783	1	1	1	RV	181.4	None	None	501	-02 15 54	0.1	
HD_11506	0	1	2	RV	200.7	None	None	1627.5	-19 30 25.11	0.37	
HD_11506	0	1	2	RV	388.0	None	None	223.6	-19 30 25.11	0.24	
HD_116029	1	1	1	RV	355.0	None	None	670.2	+24 38 55	0	
HD_117207	0	1	1	RV	128.4	None	None	2627.08	-35 34 15	0.16	
HD_117618	1	1	2	RV	664.2	None	None	25.827	-47 16 16	0.42	
HD_117618	1	1	2	RV	None	None	None	318	-47 16 16	0.00	
HD_118203	0	1	1	RV	1408.2	None	None	6.1335	+53 43 42	0.309	
HD_11964	0	2	2	RV	None	None	None	1945	-10 14 32	0.041	
HD_11964	0	2	2	RV	None	None	None	37.91	-10 14 32	0.3	
HD_11977	0	1	1	RV	563.4	None	None	711	-67 38 50	0.4	
HD_120084	1	1	1	RV	None	None	None	2082	+78 03 51	0.66	
HD_121504	0	1	1	RV	502.8	None	None	63.33	-56 02 24	0.03	
HD_122430	0	1	1	RV	868.8	None	None	344.95	-27 25 47	0.68	
